time,open,high,low,close,tick_volume,real_volume,ATR,result,Supertrend_Direction,RSI,MACD,MACD_signal,MACD_diff,EMA_21,Day of the week,Is Weekend,Month,hour,high_liquidity
2025-06-13 10:30:00,3422.2,3424.227,3414.064,3414.818,3322,0,5.9117857142856405,Sell,-1,42.37923074297527,0.3915056717819425,1.186041553751988,-0.7945358819700454,3421.131629805619,4,True,13,10,0
2025-06-13 10:45:00,3414.734,3417.03,3411.675,3415.898,3178,0,5.881999999999932,Buy,-1,43.99208593370419,-0.0491020954468695,0.9390128239122165,-0.988114919359086,3420.6558452778354,4,True,13,10,0
2025-06-13 11:00:00,3415.938,3417.218,3412.576,3416.74,3515,0,5.931214285714207,Buy,-1,45.27811386676912,-0.32657995187491906,0.6858942687547894,-1.0124742206297084,3420.2998593434863,4,True,13,11,0
2025-06-13 11:15:00,3416.694,3421.752,3416.48,3419.575,3109,0,5.980214285714218,Buy,-1,49.48398303494756,-0.3141015778296605,0.4858950994378995,-0.79999667726756,3420.2339630395327,4,True,13,11,0
2025-06-13 11:30:00,3419.535,3422.428,3418.718,3422.011,2799,0,5.646571428571373,Buy,-1,52.83822037740503,-0.10642078246246456,0.3674319230578267,-0.47385270552029124,3420.3955118541207,4,True,13,11,0
2025-06-13 11:45:00,3421.972,3423.123,3419.283,3422.297,2378,0,5.497785714285685,Buy,-1,53.230863032351024,0.08031967866463674,0.3100094741791887,-0.229689795514552,3420.568374412837,4,True,13,11,0
2025-06-13 12:00:00,3422.287,3427.158,3422.001,3424.187,2507,0,5.639499999999933,Buy,-1,55.84692884086993,0.37648021454924674,0.32330362225320036,0.05317659229604638,3420.897340375306,4,True,13,12,1
2025-06-13 12:15:00,3424.141,3427.987,3421.806,3427.66,3458,0,5.874642857142817,Buy,-1,60.24724793802358,0.8812728826683269,0.43489747433622566,0.44637540833210126,3421.5121276139143,4,True,13,12,1
2025-06-13 12:30:00,3427.746,3434.664,3426.693,3431.657,3534,0,6.040857142857119,Buy,-1,64.61767314612281,1.5855717208514761,0.6650323236392759,0.9205393972122002,3422.4343887399223,4,True,13,12,1
2025-06-13 12:45:00,3431.681,3438.285,3429.657,3436.721,3861,0,6.249928571428525,Buy,1,69.23284672485327,2.5232694234637165,1.036679743604164,1.4865896798595526,3423.7331715817472,4,True,13,12,1
